time,high,last,timestamp,bid,vwap,volume,low,ask,open,time
2021-12-15 18:48:20,48785.37,48050.36,1639594103,48017.4,47653.85,2056.72299594,46560.0,48073.74,48386.95,2021-12-15 18:48:23
2021-12-15 18:48:40,48785.37,48062.13,1639594125,48047.9,47653.99,2057.49325476,46560.0,48098.08,48386.95,2021-12-15 18:48:45
2021-12-15 18:49:00,48785.37,48070.9,1639594147,48043.23,47654.07,2057.8794289,46560.0,48074.9,48386.95,2021-12-15 18:49:07
2021-12-15 18:49:20,48785.37,48019.7,1639594167,47999.45,47654.29,2059.10205905,46560.0,48027.39,48386.95,2021-12-15 18:49:27
2021-12-15 18:49:40,48785.37,48048.3,1639594187,48034.82,47654.32,2059.24178641,46560.0,48079.08,48386.95,2021-12-15 18:49:47
2021-12-15 18:50:00,48785.37,48133.85,1639594206,48104.45,47654.61,2060.40591038,46560.0,48133.76,48386.95,2021-12-15 18:50:06
2021-12-15 18:50:20,48785.37,48062.1,1639594230,48071.1,47654.77,2061.12295991,46560.0,48099.89,48386.95,2021-12-15 18:50:30
2021-12-15 18:50:40,48785.37,48116.99,1639594241,48086.36,47654.8,2061.29119689,46560.0,48112.39,48386.95,2021-12-15 18:50:41
2021-12-15 18:51:00,48785.37,48190.12,1639594260,48171.36,47656.03,2065.94229978,46560.0,48189.72,48386.95,2021-12-15 18:51:00
2021-12-15 18:51:20,48785.37,48186.82,1639594280,48171.88,47656.13,2066.293146,46560.0,48189.72,48386.95,2021-12-15 18:51:20
2021-12-15 18:51:40,48785.37,48212.61,1639594302,48146.56,47656.29,2066.94582331,46560.0,48177.02,48386.95,2021-12-15 18:51:42
2021-12-15 18:52:00,48785.37,48186.32,1639594322,48125.72,47656.29,2066.94869331,46560.0,48161.87,48386.95,2021-12-15 18:52:02
2021-12-15 18:52:20,48785.37,48066.16,1639594345,48035.31,47656.42,2067.48792976,46560.0,48064.3,48386.95,2021-12-15 18:52:25
2021-12-15 18:52:40,48785.37,48000.0,1639594364,47966.42,47656.48,2067.79684657,46560.0,47995.3,48386.95,2021-12-15 18:52:44
2021-12-15 18:53:00,48785.37,47925.28,1639594384,47909.93,47656.53,2068.21619777,46560.0,47925.28,48386.95,2021-12-15 18:53:04
2021-12-15 18:53:20,48785.37,47778.93,1639594404,47765.96,47656.69,2070.13288704,46560.0,47803.44,48386.95,2021-12-15 18:53:24
2021-12-15 18:53:40,48785.37,47680.0,1639594424,47644.78,47656.72,2070.68713896,46560.0,47678.05,48386.95,2021-12-15 18:53:44
2021-12-15 18:54:00,48785.37,47636.13,1639594446,47620.0,47657.07,2070.21116601,46560.0,47663.89,48386.95,2021-12-15 18:54:06
2021-12-15 18:54:20,48785.37,47613.71,1639594465,47593.32,47656.89,2075.18402945,46560.0,47630.21,48386.95,2021-12-15 18:54:25
2021-12-15 18:54:40,48785.37,47614.81,1639594489,47591.49,47656.88,2076.36800819,46560.0,47609.49,48386.95,2021-12-15 18:54:49
2021-12-15 18:55:00,48785.37,47615.49,1639594507,47591.69,47656.88,2076.66423088,46560.0,47626.2,48386.95,2021-12-15 18:55:07
2021-12-15 18:55:20,48785.37,47646.52,1639594527,47623.28,47656.87,2076.8422186,46560.0,47646.52,48386.95,2021-12-15 18:55:27
2021-12-15 18:55:40,48785.37,47762.19,1639594550,47699.22,47656.94,2076.77843784,46560.0,47732.5,48386.95,2021-12-15 18:55:50
2021-12-15 18:56:00,48785.37,47760.46,1639594561,47762.86,47656.95,2077.01862473,46560.0,47782.22,48386.95,2021-12-15 18:56:01
2021-12-15 18:56:20,48785.37,47799.0,1639594581,47751.26,47657.55,2075.96668973,46560.0,47792.7,48386.95,2021-12-15 18:56:21
2021-12-15 18:56:40,48785.37,47799.64,1639594600,47779.75,47657.55,2075.97513973,46560.0,47799.65,48386.95,2021-12-15 18:56:40
2021-12-15 18:57:00,48785.37,47797.15,1639594620,47785.25,47657.57,2076.05284973,46560.0,47820.46,48386.95,2021-12-15 18:57:00
2021-12-15 18:57:20,48785.37,47753.46,1639594642,47742.04,47657.75,2078.06254418,46560.0,47779.01,48386.95,2021-12-15 18:57:22
2021-12-15 18:57:40,48785.37,47663.14,1639594662,47616.42,47657.75,2079.320797,46560.0,47665.05,48386.95,2021-12-15 18:57:42
2021-12-15 18:58:00,48785.37,47687.54,1639594684,47665.62,47657.76,2079.37490452,46560.0,47692.11,48386.95,2021-12-15 18:58:04
2021-12-15 18:58:20,48785.37,47725.3,1639594704,47682.79,47657.76,2079.56090452,46560.0,47698.13,48386.95,2021-12-15 18:58:24
2021-12-15 18:58:40,48785.37,47785.54,1639594724,47755.74,47657.79,2079.83758843,46560.0,47789.64,48386.95,2021-12-15 18:58:44
2021-12-15 18:59:00,48785.37,47784.21,1639594746,47782.55,47657.8,2080.0566727,46560.0,47800.25,48386.95,2021-12-15 18:59:06
2021-12-15 18:59:20,48785.37,47854.85,1639594765,47845.54,47657.88,2080.39219782,46560.0,47880.29,48386.95,2021-12-15 18:59:25
2021-12-15 18:59:40,48785.37,47851.36,1639594789,47835.84,47657.97,2081.20729031,46560.0,47860.26,48386.95,2021-12-15 18:59:49
2021-12-15 19:00:00,48785.37,47559.94,1639594808,47503.03,47658.06,2086.78452913,46560.0,47550.8,48386.95,2021-12-15 19:00:08
2021-12-15 19:00:20,48785.37,47492.57,1639594820,47492.14,47656.41,2102.19290962,46560.0,47536.1,48386.95,2021-12-15 19:00:20
2021-12-15 19:00:40,48785.37,47513.42,1639594850,47420.62,47656.68,2104.1999202,46560.0,47473.18,48386.95,2021-12-15 19:00:50
2021-12-15 19:01:00,48785.37,47566.63,1639594861,47497.98,47656.56,2105.83977103,46560.0,47524.1,48386.95,2021-12-15 19:01:01
2021-12-15 19:01:20,48785.37,47275.7,1639594881,47260.0,47655.22,2114.89849655,46560.0,47260.01,48386.95,2021-12-15 19:01:21
2021-12-15 19:01:40,48785.37,47300.7,1639594903,47318.51,47654.75,2117.82980019,46560.0,47348.16,48386.95,2021-12-15 19:01:43
